ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2016,"2016",0,"Total",86486,8394,"Census Tract 117.10, Thurston County, WA","14000US53067011710"
2016,"2016",0,"Total",52278,10470,"Census Tract 106, Thurston County, WA","14000US53067010600"
2016,"2016",0,"Total",40602,3240,"Census Tract 105.20, Thurston County, WA","14000US53067010520"
2016,"2016",0,"Total",42032,6172,"Census Tract 122.12, Thurston County, WA","14000US53067012212"
2016,"2016",0,"Total",80399,8833,"Census Tract 117.20, Thurston County, WA","14000US53067011720"
2016,"2016",0,"Total",49074,8922,"Census Tract 126.20, Thurston County, WA","14000US53067012620"
2016,"2016",0,"Total",37393,6174,"Census Tract 105.10, Thurston County, WA","14000US53067010510"
2016,"2016",0,"Total",90769,8340,"Census Tract 118.10, Thurston County, WA","14000US53067011810"
2016,"2016",0,"Total",72500,7640.000000000001,"Census Tract 127.10, Thurston County, WA","14000US53067012710"
2016,"2016",0,"Total",80682,11875,"Census Tract 122.11, Thurston County, WA","14000US53067012211"
2016,"2016",0,"Total",57275,6401,"Census Tract 118.21, Thurston County, WA","14000US53067011821"
2016,"2016",0,"Total",89118,8991,"Census Tract 104, Thurston County, WA","14000US53067010400"
2016,"2016",0,"Total",57820,8664,"Census Tract 103, Thurston County, WA","14000US53067010300"
2016,"2016",0,"Total",87443,7387,"Census Tract 121, Thurston County, WA","14000US53067012100"
2016,"2016",0,"Total",82225,11536,"Census Tract 118.22, Thurston County, WA","14000US53067011822"
2016,"2016",0,"Total",53275,9823,"Census Tract 127.20, Thurston County, WA","14000US53067012720"
2016,"2016",0,"Total",71696,9941,"Census Tract 102, Thurston County, WA","14000US53067010200"
2016,"2016",0,"Total",93810,13546.000000000002,"Census Tract 119, Thurston County, WA","14000US53067011900"
2016,"2016",0,"Total",58790,4292,"Census Tract 127.30, Thurston County, WA","14000US53067012730"
2016,"2016",0,"Total",83958,10578,"Census Tract 120, Thurston County, WA","14000US53067012000"
2015,"2015",0,"Total",52849,5334,"Census Tract 108, Thurston County, WA","14000US53067010800"
2015,"2015",0,"Total",66577,6957.000000000001,"Census Tract 102, Thurston County, WA","14000US53067010200"
2015,"2015",0,"Total",81250,6752,"Census Tract 124.20, Thurston County, WA","14000US53067012420"
