ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2014,"2014",0,"Total",62421,7533.000000000001,"Census Tract 9517, Skagit County, WA","14000US53057951700"
2014,"2014",0,"Total",55903,5702,"Census Tract 9516, Skagit County, WA","14000US53057951600"
2014,"2014",0,"Total",72939,4154,"Census Tract 9403, Skagit County, WA","14000US53057940300"
2014,"2014",0,"Total",37716,5174,"Census Tract 9518, Skagit County, WA","14000US53057951800"
2014,"2014",0,"Total",74955,6242,"Census Tract 9527, Skagit County, WA","14000US53057952700"
2014,"2014",0,"Total",48958,8656,"Census Tract 9515, Skagit County, WA","14000US53057951500"
2014,"2014",0,"Total",72239,2517,"Census Tract 9404, Skagit County, WA","14000US53057940400"
2014,"2014",0,"Total",53688,5864,"Census Tract 9526, Skagit County, WA","14000US53057952600"
2014,"2014",0,"Total",81563,16146,"Census Tract 9519, Skagit County, WA","14000US53057951900"
2014,"2014",0,"Total",68250,7377,"Census Tract 9402, Skagit County, WA","14000US53057940200"
2014,"2014",0,"Total",47868,9899,"Census Tract 9514, Skagit County, WA","14000US53057951400"
2014,"2014",0,"Total",33631,4850,"Census Tract 9405, Skagit County, WA","14000US53057940500"
2014,"2014",0,"Total",36438,2105,"Census Tract 9406, Skagit County, WA","14000US53057940600"
2014,"2014",0,"Total",57076,4303,"Census Tract 9521, Skagit County, WA","14000US53057952100"
2014,"2014",0,"Total",69625,8431,"Census Tract 9513, Skagit County, WA","14000US53057951300"
2014,"2014",0,"Total",33071,8776,"Census Tract 9525, Skagit County, WA","14000US53057952500"
2014,"2014",0,"Total",71875,11446,"Census Tract 9512, Skagit County, WA","14000US53057951200"
2014,"2014",0,"Total",49183,3787.9999999999995,"Census Tract 9407, Skagit County, WA","14000US53057940700"
2014,"2014",0,"Total",31736,6474,"Census Tract 9522, Skagit County, WA","14000US53057952200"
2014,"2014",0,"Total",54276,7350,"Census Tract 9524.02, Skagit County, WA","14000US53057952402"
2014,"2014",0,"Total",43134,6934,"Census Tract 9511, Skagit County, WA","14000US53057951100"
2014,"2014",0,"Total",56063,4281,"Census Tract 9408, Skagit County, WA","14000US53057940800"
2014,"2014",0,"Total",41154,7062.000000000001,"Census Tract 9501, Skagit County, WA","14000US53057950100"
2014,"2014",0,"Total",33111,5807,"Census Tract 9523.01, Skagit County, WA","14000US53057952301"
2014,"2014",0,"Total",55823,6708,"Census Tract 9510, Skagit County, WA","14000US53057951000"
2014,"2014",0,"Total",45625,11154,"Census Tract 9524.01, Skagit County, WA","14000US53057952401"
2014,"2014",0,"Total",71064,5746,"Census Tract 9509, Skagit County, WA","14000US53057950900"
2014,"2014",0,"Total",78291,12184,"Census Tract 9508, Skagit County, WA","14000US53057950800"
2013,"2013",0,"Total",38231,5930,"Census Tract 9525, Skagit County, WA","14000US53057952500"
2013,"2013",0,"Total",59375,16175,"Census Tract 9517, Skagit County, WA","14000US53057951700"
2013,"2013",0,"Total",58659,4891,"Census Tract 9523.02, Skagit County, WA","14000US53057952302"
2013,"2013",0,"Total",76981,10434,"Census Tract 9508, Skagit County, WA","14000US53057950800"
2013,"2013",0,"Total",48603,11230,"Census Tract 9524.01, Skagit County, WA","14000US53057952401"
2013,"2013",0,"Total",55455,6517,"Census Tract 9510, Skagit County, WA","14000US53057951000"
2013,"2013",0,"Total",28672,9319,"Census Tract 9523.01, Skagit County, WA","14000US53057952301"
2013,"2013",0,"Total",42857,11525,"Census Tract 9501, Skagit County, WA","14000US53057950100"
2013,"2013",0,"Total",41550,7002.000000000001,"Census Tract 9511, Skagit County, WA","14000US53057951100"
2013,"2013",0,"Total",60591,4906,"Census Tract 9524.02, Skagit County, WA","14000US53057952402"
2013,"2013",0,"Total",71713,10259,"Census Tract 9512, Skagit County, WA","14000US53057951200"
2013,"2013",0,"Total",54464,4789,"Census Tract 9408, Skagit County, WA","14000US53057940800"
2013,"2013",0,"Total",32864,6006,"Census Tract 9522, Skagit County, WA","14000US53057952200"
2013,"2013",0,"Total",48879,3846,"Census Tract 9407, Skagit County, WA","14000US53057940700"
2013,"2013",0,"Total",70795,7082.000000000001,"Census Tract 9509, Skagit County, WA","14000US53057950900"
2013,"2013",0,"Total",70282,6637,"Census Tract 9513, Skagit County, WA","14000US53057951300"
2013,"2013",0,"Total",58086,6318,"Census Tract 9521, Skagit County, WA","14000US53057952100"
2013,"2013",0,"Total",35306,3056,"Census Tract 9406, Skagit County, WA","14000US53057940600"
2013,"2013",0,"Total",50030,8580,"Census Tract 9514, Skagit County, WA","14000US53057951400"
2013,"2013",0,"Total",55196,4356,"Census Tract 9526, Skagit County, WA","14000US53057952600"
2013,"2013",0,"Total",77976,11220,"Census Tract 9519, Skagit County, WA","14000US53057951900"
2013,"2013",0,"Total",37946,5093,"Census Tract 9405, Skagit County, WA","14000US53057940500"
2013,"2013",0,"Total",51809,4644,"Census Tract 9515, Skagit County, WA","14000US53057951500"
2013,"2013",0,"Total",69939,2698,"Census Tract 9404, Skagit County, WA","14000US53057940400"
2013,"2013",0,"Total",73700,6927.999999999999,"Census Tract 9527, Skagit County, WA","14000US53057952700"
2013,"2013",0,"Total",56148,5177,"Census Tract 9516, Skagit County, WA","14000US53057951600"
2013,"2013",0,"Total",35448,4558,"Census Tract 9518, Skagit County, WA","14000US53057951800"
2013,"2013",0,"Total",71096,3063,"Census Tract 9403, Skagit County, WA","14000US53057940300"
2013,"2013",0,"Total",71923,7705.000000000001,"Census Tract 9402, Skagit County, WA","14000US53057940200"
